parent_id,method,matrix_count,direction_repeat,training_repeat,status,parameter_success,output_l1_error,coefficient_l1_norm,joint_parameter_error,angular_gaussian_nmse,logical_learning_queries,minimum_hidden_weight,run_id
T512_seed0,two_hessian,3,0,,complete,False,0.49507252085847353,1.0832256149384107,0.49507252085847353,0.06388696381555212,31191992508,-0.04782071595789079,T512_seed0_repeat0_M3_two_hessian
T512_seed0,best_single,3,0,,complete,False,0.4724872429836509,1.0832256149384114,0.4724872429836509,0.07636715530361775,31191992568,-0.03803313861534608,T512_seed0_repeat0_M3_best_single
T512_seed0,random_1,3,0,,complete,False,0.4647163222666163,1.0832256149384107,0.4647163222666163,0.07896474707063085,31191992568,-0.037797414717471244,T512_seed0_repeat0_M3_random_1
T512_seed0,random_64,3,0,,complete,False,0.47421323605938626,1.0832256149384103,0.47421323605938626,0.07628858606846567,31191992568,-0.03836884336858348,T512_seed0_repeat0_M3_random_64
T512_seed0,two_hessian,6,0,,complete,False,0.49507252085847353,1.0832256149384107,0.49507252085847353,0.06388696381555212,31191992508,-0.04782071595789079,T512_seed0_repeat0_M6_two_hessian
T512_seed0,best_single,6,0,,complete,False,0.4705585122786403,1.0832256149384107,0.4705585122786403,0.07588456016141501,31191992658,-0.04034024692444091,T512_seed0_repeat0_M6_best_single
T512_seed0,random_1,6,0,,complete,False,0.6021719163246645,1.0832256149384103,0.6021719163246645,0.030078902384398178,31191992658,-0.08143417257970201,T512_seed0_repeat0_M6_random_1
T512_seed0,random_64,6,0,,complete,False,0.4704934142189078,1.0832256149384107,0.4704934142189078,0.0761668875129294,31191992658,-0.03827519850353433,T512_seed0_repeat0_M6_random_64
T512_seed0,two_hessian,12,0,,complete,False,0.49507252085847353,1.0832256149384107,0.49507252085847353,0.06388696381555212,31191992508,-0.04782071595789079,T512_seed0_repeat0_M12_two_hessian
T512_seed0,best_single,12,0,,complete,False,0.4961800664021683,1.0832256149384105,0.4961800664021683,0.06701340377326985,31191992838,-0.04592160329849379,T512_seed0_repeat0_M12_best_single
T512_seed0,random_1,12,0,,complete,False,0.47141245037441104,1.0832256149384105,0.47141245037441104,0.07665393223300519,31191992838,-0.038893132232999054,T512_seed0_repeat0_M12_random_1
T512_seed0,random_64,12,0,,complete,False,0.4838059928140898,1.0832256149384105,0.4838059928140898,0.07276536961557915,31191992838,-0.03988677821766305,T512_seed0_repeat0_M12_random_64
T512_seed0,random_8,12,0,,complete,False,0.4838059928140898,1.0832256149384105,0.4838059928140898,0.07276536961557915,31191992838,-0.03988677821766305,T512_seed0_repeat0_M12_random_8
T512_seed0,random_32,12,0,,complete,False,0.4838059928140898,1.0832256149384105,0.4838059928140898,0.07276536961557915,31191992838,-0.03988677821766305,T512_seed0_repeat0_M12_random_32
T512_seed0,two_hessian,24,0,,complete,False,0.49507252085847353,1.0832256149384107,0.49507252085847353,0.06388696381555212,31191992508,-0.04782071595789079,T512_seed0_repeat0_M24_two_hessian
T512_seed0,best_single,24,0,,complete,False,0.4928130222761395,1.0832256149384096,0.4928130222761395,0.07067008121186603,31191993198,-0.03700275728437165,T512_seed0_repeat0_M24_best_single
T512_seed0,random_1,24,0,,complete,False,0.48901077313611885,1.0832256149384103,0.48901077313611885,0.0601662057877788,31191993198,-0.13727481406316597,T512_seed0_repeat0_M24_random_1
T512_seed0,random_64,24,0,,complete,False,0.4808351401352221,1.0832256149384105,0.4808351401352221,0.07268864907425054,31191993198,-0.041270621210604055,T512_seed0_repeat0_M24_random_64
T512_seed0,two_hessian,3,1,,complete,False,0.4709219045358354,1.0832256149384094,0.4709219045358354,0.07665804966342166,31191992508,-0.038140980525369655,T512_seed0_repeat1_M3_two_hessian
T512_seed0,best_single,3,1,,complete,False,0.4709219045358354,1.0832256149384094,0.4709219045358354,0.07665804966342166,31191992568,-0.038140980525369655,T512_seed0_repeat1_M3_best_single
