parameter,row,column,ground_truth,recovered_aligned,difference,absolute_error
W1,1,1,-0.10940193948769084,-0.10761754585647126,0.0017843936312195718,0.0017843936312195718
W1,1,2,-0.2906475515296201,-0.29470727003621106,-0.004059718506590981,0.004059718506590981
W1,1,3,-0.531701607986988,-0.5297816387568425,0.0019199692301454796,0.0019199692301454796
W1,2,1,-0.05850257507802438,-0.04914931386999755,0.009353261208026827,0.009353261208026827
W1,2,2,-0.830162515872075,-0.8299341218005021,0.0002283940715729349,0.0002283940715729349
W1,2,3,0.1515381491624417,0.15624395860043924,0.004705809437997532,0.004705809437997532
W1,3,1,0.09923634657345344,0.0988549957468611,-0.00038135082659233877,0.00038135082659233877
W1,3,2,-0.057975131877805036,-0.058973974698013326,-0.00099884282020829,0.00099884282020829
W1,3,3,-0.39138356806460695,-0.39135066533177565,3.2902732831296966e-05,3.2902732831296966e-05
W1,4,1,-0.7839413741724296,-0.7836685087844643,0.00027286538796533755,0.00027286538796533755
W1,4,2,-0.0036040396280964115,-0.01194070160859476,-0.008336661980498348,0.008336661980498348
W1,4,3,0.0726029312143805,0.07492375532433074,0.0023208241099502425,0.0023208241099502425
W1,5,1,-0.3894253117111478,-0.3915911073831614,-0.002165795672013582,0.002165795672013582
W1,5,2,0.28560829976505914,0.28313236491478,-0.002475934850279138,0.002475934850279138
W1,5,3,0.3493231489049737,0.3488993422750582,-0.0004238066299154797,0.0004238066299154797
W1,6,1,0.031271263984759864,0.03162680124489697,0.00035553726013710235,0.00035553726013710235
W1,6,2,-0.04051885876087093,-0.04033598048264629,0.0001828782782246352,0.0001828782782246352
W1,6,3,-0.0312604089272251,-0.031130216071113666,0.00013019285611143294,0.00013019285611143294
W1,7,1,0.21621826639066166,0.22090337199055748,0.004685105599895822,0.004685105599895822
W1,7,2,-0.28550980264912684,-0.27967738304612294,0.005832419603003902,0.005832419603003902
W1,7,3,0.6318428727880415,0.6327559854484459,0.0009131126604043915,0.0009131126604043915
W1,8,1,-0.4010192385054057,-0.39868786942921597,0.0023313690761897488,0.0023313690761897488
W1,8,2,-0.24135112760080213,-0.24642666747165434,-0.005075539870852214,0.005075539870852214
W1,8,3,-0.11682471921790047,-0.11432563035478507,0.002499088863115395,0.002499088863115395
W2,1,1,0.92,0.9089214394323939,-0.011078560567606144,0.011078560567606144
W2,1,2,0.005,0.014808400084648331,0.009808400084648332,0.009808400084648332
W2,1,3,0.075,0.0781489190136438,0.0031489190136438083,0.0031489190136438083
W2,2,1,0.005,0.020220139328027208,0.015220139328027207,0.015220139328027207
W2,2,2,0.845,0.8324319887128007,-0.01256801128719931,0.01256801128719931
W2,2,3,0.15,0.1453617527585546,-0.0046382472414454035,0.0046382472414454035
W2,3,1,0.075,0.0708584212395789,-0.004141578760421094,0.004141578760421094
W2,3,2,0.15,0.152759611202551,0.002759611202550999,0.002759611202550999
W2,3,3,0.775,0.7764893282278016,0.0014893282278015674,0.0014893282278015674
a,1,1,0.3333333333333333,0.35113288432805195,0.017799550994718638,0.017799550994718638
a,2,1,0.3333333333333333,0.3700398662790005,0.03670653294566717,0.03670653294566717
a,3,1,0.3333333333333333,0.33913257286383164,0.0057992395304983235,0.0057992395304983235
