k,status,first_layer_error,second_layer_error,output_l1_error,coefficient_l1_norm,joint_parameter_error,parameter_success,first_layer_origin,first_layer_source,new_first_layer_queries,computation_seconds,first_layer_sampling_seconds,hessian_seconds,regression_seconds,complete_learning_queries,current_execution_queries,moment_gap,population_moment_gap,span_condition,hessian_relative_gap,hessian_signal_residual,hessian_condition,normalization,minimum_weight_entry,negative_weight_entries,regression_condition,max_leverage,max_label_energy_share,angular_gaussian_nmse,failure_reason
4,complete,0.013037289900738625,0.025987360701509123,0.0689854416538877,1.012800593018873,0.0689854416538877,True,imported_first_layer,archive/activation_signed_normalization/k4,0,0.8107721999986097,3474.8625474,0.054869700004928745,0.3604330999951344,31995202054,1069146,0.02705140701727568,0.027402173312796468,14.05201630822578,0.03518084503520246,0.0052977014079466115,2.8533228663236385,coordinatewise_absolute_value_and_l1,0.0076970282614753464,0,1.0056670605026308,0.8614729068286158,0.7150182484237612,0.000809875886888482,
6,complete,0.01271764985824841,0.02581270499876755,0.06030532347088413,1.0603053234708841,0.06030532347088413,True,imported_first_layer,archive/activation_signed_normalization/k6,0,0.8819604000018444,3341.1416773999954,0.07490830001188442,0.4116703000036068,33001837730,1069374,0.018062071839840457,0.020952826147105228,337.63835489417556,0.12603868271280766,0.003781704853521851,3.906765790578443,coordinatewise_absolute_value_and_l1,0.014808400084648331,0,1.0047354757898863,0.9945994788105927,0.9937801818015328,0.002540336507094054,
8,complete,0.006274294989731217,0.012961563323356512,0.04586131615343614,0.9982374499768359,0.04586131615343614,True,imported_first_layer,archive/activation_signed_normalization/k8,0,0.9128280000004452,3430.734167799994,0.0980445999884978,0.4005559999932302,33337385790,1069602,0.011807840305310827,0.016517869527149866,27272.369004693293,0.10774117694369693,0.0012501323726662147,3.1338305005223446,coordinatewise_absolute_value_and_l1,0.002499220905772944,0,1.0140765656669999,0.9999579736511386,0.9999449357201889,0.0010379577921304475,
